"";"gene_134";"gene_1554";"gene_3849";"gene_4247";"gene_6723";"gene_6926";"gene_7234";"gene_11250";"gene_11388";"gene_14396";"gene_5752";"gene_7395";"gene_7489";"gene_9467";"gene_10266";"gene_11353";"gene_11355";"gene_12977";"gene_15453";"gene_18383"
"284";11,7267503424;3,48762783354;5,51411910329;0;6,381551603;4,31018013548;1,18719764955;7,31619100686;3,06066999536;4,60334742171;10,1558934019;7,43275066894;7,46178227914;10,8698791155;5,72910134783;1,54384228661;13,0645895292;0;13,64969404;12,0547772682
"101";2,88752527074;10,2216716989;3,29278174923;2,46814014478;0,847996906555;2,39689928352;5,99849565722;4,68929916054;4,5484366247;5,61470984412;6,42290574261;7,69069644398;1,37851162325;3,64000772175;11,1446136358;0,616639997172;13,175580737;7,13408742678;13,0185131693;4,68929916054
"623";4,39791930355;1,43392088351;6,10293522312;0,422663591655;4,3505679657;2,34607753454;0;3,14216833862;3,02639286095;0;8,57307908548;0;7,54566726156;7,24586640484;12,1066021969;0;11,5821466871;1,01514070516;7,97642664915;5,98384411484
"645";11,4812999508;6,21604349484;8,7811301756;1,68063941964;4,75042964059;8,57128620414;0;9,70805097659;2,70358801427;4,89111778376;6,540509348;13,4035180501;8,76841593154;12,4559205145;7,23827097332;1,4083314393;10,0791914149;1,07231164002;12,4007913993;8,59822002921
"400";15,606020543;1,21456003561;0;0;9,39847650145;8,58742875257;0;0;0;0,731443946035;2,65138469279;3,40257211566;12,6422209604;2,40386758421;14,5905812024;0;0,411643176039;10,8135888191;0,731443946035;1,86449322645
"98";1,38277790584;13,8459898112;2,3729799489;1,19295161807;10,3711994509;0,402176424979;9,22037349049;0,402176424979;2,61934257625;11,8779359218;4,31984189291;2,61934257625;0,974235604209;7,41595298197;8,84196683102;0;13,2439653441;0,974235604209;11,9138468243;2,69291813081
"103";3,03945427794;8,02781755278;7,95410904797;5,71202067868;6,30895966509;1,72726701073;8,13547843643;3,86561203608;3,27293392015;9,59353118347;6,80268437357;7,18995301231;4,57414996051;8,04369992862;9,60909006786;0,366140335771;10,5032493397;4,0530244245;8,30845280286;4,85900047099
"726";9,8551472358;9,56316385174;4,65776574969;6,4985396968;2,62442847675;1,3727849807;7,40516699734;1,75894271687;1,13237942505;7,94371039081;3,45092089484;4,43732762664;1,3727849807;5,43047931446;10,8552967658;0,482745045383;4,1121996893;4,20837679153;9,64564762566;10,6092156825
"602";0;12,3482357395;9,89933577331;14,2576014613;4,39853507384;0;6,05434709242;12,312102986;12,9235094823;9,40980671185;3,33245015865;0,72080378204;2,62870361638;7,87627136055;0;3,13374434446;1,19924830684;2,77247689891;1,55792467767;4,04911667247
"326";3,80272055745;7,55937709053;7,24362148282;3,89224529178;3,89224529178;1,22663183181;0;3,80272055745;1,69314122683;3,93501649889;6,15251200452;3,84817723216;2,19339328195;5,74722088391;11,4723303743;0;10,2055611291;0;7,87703867808;0,921055421222
"79";9,53654058243;11,6333903397;10,3578048939;8,6100909866;3,33004203505;5,25534210351;13,3123582951;14,23895699;9,46307269407;10,4801338224;5,07328897698;8,59085647753;8,67546311636;11,5955931697;3,37570674072;1,70668525685;5,16718528861;1,70668525685;8,32153580884;8,4971093464
"270";14,1586175769;3,08448952494;0,699107384624;0;7,45607509052;6,01348235913;0;0;0;0;2,42352438824;0,699107384624;13,6567711937;0,699107384624;13,0824484627;0,699107384624;0;10,8414306859;1,5213523141;0
"382";9,47077883948;0,612777105285;0;0;8,65334669272;5,69489133326;1,86627499158;1,64001929409;0;3,2428616038;1,64001929409;1,64001929409;11,9989711495;1,64001929409;12,4401658121;0;4,16458517483;10,8499445446;2,38774853145;1,64001929409
"184";3,20291916882;10,322142229;10,1583698502;13,9267036876;0,898401859992;2,81725486281;7,51472983199;15,0374311288;13,0022717935;4,29105094951;6,51239283115;4,29105094951;3,71108737034;7,07600318448;1,65997021259;9,45298247784;4,79621875804;2,15578160877;8,68292086745;3,61262378956
"574";2,91592239022;12,6239820546;7,62942219564;2,28356623897;8,8216273138;0,92052197879;10,2690565302;3,07722590529;9,92798827806;10,5863613117;4,42855782304;3,65607299586;1,4779881081;5,78561855244;11,4408484093;0,673737314849;10,322683058;5,27779138346;9,65516754404;0,673737314849
